Author(s),Title,Publication Date,Source,Page Numbers,Link,Category,Abstract,Countries,heatwave,heat wave,heat  wave,heat  action  plan,heat  health,heat early warning system,heat-health action plan,heat-health warning  systems,extreme heat management,heat wave management,public health heat wave alert
"L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier",Extreme heat at outdoor COVID-19 vaccination sites,"L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier","L Keith, N Iroz-Elardo, E Austof, I Sami… - The journal of climate …, 2021 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2667278221000407,Academic Journal,"… increasing the likelihood of extreme heat events, we also … management of chronic and acute 
heat risk. Federal emergency … , and emergency management perspectives to consider heat …",,0,0,0,0,0,0,0,0,0,0,0
"RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com",Institutionally configured risk: Assessing urban resilience and disaster risk reduction to heat wave risk in London,"RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com","RZ Zaidi, M Pelling - Urban Studies, 2015 - journals.sagepub.com",[PDF] academia.edu,https://journals.sagepub.com/doi/abs/10.1177/0042098013510957,Academic Journal,"… constraints on the very system that this paper identifies as needing to have a greater role in 
risk management for heat waves, especially if resilience is to be built into everyday practices. …",,0,0,0,0,0,0,0,0,0,0,0
"S Das, SC Smith - Climate Change Economics, 2012 - World Scientific",Awareness as an adaptation strategy for reducing mortality from heat waves: evidence from a disaster risk management program in India,"S Das, SC Smith - Climate Change Economics, 2012 - World Scientific","S Das, SC Smith - Climate Change Economics, 2012 - World Scientific",[PDF] ids.ac.uk,https://www.worldscientific.com/doi/abs/10.1142/s2010007812500108,Academic Journal,"… the impact on the death toll from heat stroke for the 1998 to 2010 … We then take into account 
a statewide heat wave advertising … ; results suggest the heat wave awareness programs may …",,0,0,0,0,0,0,0,0,0,0,0
"N Caputi, M Kangas, A Denham, M Feng… - Ecology and …, 2016 - Wiley Online Library",Management adaptation of invertebrate fisheries to an extreme marine heat wave event at a global warming hot spot,"N Caputi, M Kangas, A Denham, M Feng… - Ecology and …, 2016 - Wiley Online Library","N Caputi, M Kangas, A Denham, M Feng… - Ecology and …, 2016 - Wiley Online Library",[PDF] wiley.comFull View,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.2137,Academic Journal,"… heat wave on invertebrate fisheries in Western Australia and is one of the first to assess the 
management … examined as well as their management implications. The specific effect of the …",,0,0,0,0,0,0,0,0,0,0,0
"L Hahn, T Mader, D Spiers, J Gaughan… - Proc. 6th Intl. Livest …, 2001 - ars.usda.gov",Heat wave impacts on feedlot cattle: Considerations for improved environmental management,"L Hahn, T Mader, D Spiers, J Gaughan… - Proc. 6th Intl. Livest …, 2001 - ars.usda.gov","L Hahn, T Mader, D Spiers, J Gaughan… - Proc. 6th Intl. Livest …, 2001 - ars.usda.gov",Save Cite Cited by 49 Related articles All 2 versions  Cached ,https://www.ars.usda.gov/research/publications/publication/?seqNo115=121458,Academic Journal,"… to heat challenges and analyses of heat waves … management. Specific aspects include 1) 
awareness of how successive days of severe to extreme heat can interact with metabolic heat …",United States,0,1,0,0,0,0,0,0,0,0,0
"GA Slafer, R Savin - Current opinion in plant biology, 2018 - Elsevier",Can N management affect the magnitude of yield loss due to heat waves in wheat and maize?,"GA Slafer, R Savin - Current opinion in plant biology, 2018 - Elsevier","GA Slafer, R Savin - Current opinion in plant biology, 2018 - Elsevier",[PDF] udl.cat,https://www.sciencedirect.com/science/article/pii/S1369526617302418,Academic Journal,"… Nitrogen (N) fertilization is within the most common management … by heat stress during 
reproductive phases (ie when heat waves are more likely). We concluded that sensitivity to heat …",,0,0,0,0,0,0,0,0,0,0,0
"BJ He, J Wang, H Liu, G Ulpiani - Environmental Research, 2021 - Elsevier",Localized synergies between heat waves and urban heat islands: Implications on human thermal comfort and urban heat management,"BJ He, J Wang, H Liu, G Ulpiani - Environmental Research, 2021 - Elsevier","BJ He, J Wang, H Liu, G Ulpiani - Environmental Research, 2021 - Elsevier",Save Cite Cited by 205 Related articles All 7 versions  ,https://www.sciencedirect.com/science/article/pii/S001393512031481X,Academic Journal,"Heat waves (HWs) and urban heat islands (UHIs) can potentially interact. The mechanisms 
behind their synergy are not fully disclosed. Starting from the localized UHI phenomenon, …",,0,0,0,0,0,0,0,0,0,0,0
"GL Hahn, TL Mader - Proceedings, Fifth International Livestock …, 1997 - ars.usda.gov","Heat waves in relation to thermoregulation, feeding behavior and mortality of feedlot cattle","GL Hahn, TL Mader - Proceedings, Fifth International Livestock …, 1997 - ars.usda.gov","GL Hahn, TL Mader - Proceedings, Fifth International Livestock …, 1997 - ars.usda.gov",Save Cite Cited by 321 Related articles All 2 versions  Cached ,https://www.ars.usda.gov/research/publications/publication/?seqNo115=79135,Academic Journal,"… that heat wave from meteorological and biological perspectives to illustrate the benefits of 
improved management when a heat wave is … the potential impact of a heat wave, and provides …",United States,0,1,0,0,0,0,0,0,0,0,0
"KE Mills, AJ Pershing, CJ Brown, Y Chen, FS Chiang… - Oceanography, 2013 - JSTOR",Fisheries management in a changing climate: lessons from the 2012 ocean heat wave in the Northwest Atlantic,"KE Mills, AJ Pershing, CJ Brown, Y Chen, FS Chiang… - Oceanography, 2013 - JSTOR","KE Mills, AJ Pershing, CJ Brown, Y Chen, FS Chiang… - Oceanography, 2013 - JSTOR",[PDF] umaine.edu,https://www.jstor.org/stable/24862052,Academic Journal,"… in 2012 when a record heat wave affected much of the … heat wave was occurring over a 
large portion of the Northwest Atlantic Ocean. Like the heat wave on land, the ocean heat wave …",,0,0,0,0,0,0,0,0,0,0,0
"M Choobineh, PC Tabares-Velasco… - Electric Power Systems …, 2016 - Elsevier",Optimal energy management of a distribution network during the course of a heat wave,"M Choobineh, PC Tabares-Velasco… - Electric Power Systems …, 2016 - Elsevier","M Choobineh, PC Tabares-Velasco… - Electric Power Systems …, 2016 - Elsevier",Save Cite Cited by 26 Related articles All 3 versions  ,https://www.sciencedirect.com/science/article/pii/S0378779615002801,Academic Journal,"… An operation dispatch strategy was proposed in this paper for energy management of a 
power distribution system exposed to a heat wave event. Whenever applicable, the components …",,0,0,0,0,0,0,0,0,0,0,0
"SJ Barbeaux, K Holsman, S Zador - Frontiers in Marine Science, 2020 - frontiersin.org",Marine heatwave stress test of ecosystem-based fisheries management in the Gulf of Alaska Pacific cod fishery,"SJ Barbeaux, K Holsman, S Zador - Frontiers in Marine Science, 2020 - frontiersin.org","SJ Barbeaux, K Holsman, S Zador - Frontiers in Marine Science, 2020 - frontiersin.org",[HTML] frontiersin.org,https://www.frontiersin.org/articles/10.3389/fmars.2020.00703/full,Academic Journal,"… with ecosystem-based fisheries management in the context of … management system in the 
North Pacific handled this shock. We also provide suggestions on how fisheries management …","Australia, Canada, France, United Kingdom, Mali, Oman, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
"D Lowe, KL Ebi, B Forsberg - … of environmental research and public health, 2011 - mdpi.com",Heatwave early warning systems and adaptation advice to reduce human health consequences of heatwaves,"D Lowe, KL Ebi, B Forsberg - … of environmental research and public health, 2011 - mdpi.com","D Lowe, KL Ebi, B Forsberg - … of environmental research and public health, 2011 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/8/12/4623,Academic Journal,"… Within the notification strategies, none of the HEWS present heat health risk information in a 
… options for presenting the risks associated with heat waves. A review of statistical formats [40…","Australia, Belgium, Canada, Switzerland, Germany, Denmark, Spain, Finland, France, Georgia, Hungary, Israel, Italy, Lithuania, Luxembourg, Mali, Netherlands, Norway, Oman, Panama, Portugal, Romania, Sweden, Slovenia, Slovakia",1,1,0,0,0,0,0,0,0,0,0
"RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org",Heat stress and public health: a critical review,"RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org","RS Kovats, S Hajat - Annu. Rev. Public Health, 2008 - annualreviews.org",[HTML] annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev.publhealth.29.020907.090843,Academic Journal,"… Since the 2003 heat wave, most countries in Western Europe have implemented some 
public health measures for heat waves, mostly in the form of heat health warning systems (HHWS)…",,0,0,0,0,0,0,0,0,0,0,0
"M Li, S Gu, P Bi, J Yang, Q Liu - … research and public health, 2015 - mdpi.com",Heat waves and morbidity: current knowledge and further direction-a comprehensive literature review,"M Li, S Gu, P Bi, J Yang, Q Liu - … research and public health, 2015 - mdpi.com","M Li, S Gu, P Bi, J Yang, Q Liu - … research and public health, 2015 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/12/5/5256,Academic Journal,"… heat waves and the health indicators that can be used in the early warning systems to guide 
the public health … Yet there is a knowledge gap in the impact of heat waves on morbidity. In …","Australia, Belgium, Canada, Switzerland, China, Denmark, Spain, France, Georgia, India, Italy, Oman, United States",1,1,0,0,0,0,0,0,0,0,0
"V Abrahamson, R Raine - Journal of public health, 2009 - academic.oup.com",Health and social care responses to the Department of Health Heatwave Plan,"V Abrahamson, R Raine - Journal of public health, 2009 - academic.oup.com","V Abrahamson, R Raine - Journal of public health, 2009 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/jpubhealth/article-abstract/31/4/478/1496128,Academic Journal,"… So if it was getting overly hot … it would set off an alarm SS manager … from the Medical 
Research Council (Heat waves in the UK: impacts and public health responses. Grant ID 76585). …",,0,0,0,0,0,0,0,0,0,0,0
"A Nori-Sarma, T Benmarhnia, A Rajiva… - … and public health, 2019 - mdpi.com",Advancing our understanding of heat wave criteria and associated health impacts to improve heat wave alerts in developing country settings,"A Nori-Sarma, T Benmarhnia, A Rajiva… - … and public health, 2019 - mdpi.com","A Nori-Sarma, T Benmarhnia, A Rajiva… - … and public health, 2019 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/16/12/2089,Academic Journal,"… can inform policy on heat wave alerts to maximize the public health impact while minimizing 
… during heat wave alerts; this may avoid saturating the public with heat wave warnings, which …","Australia, Switzerland, Georgia, India, Nepal, Oman, Pakistan, Sweden, United States",1,1,0,0,0,0,1,0,0,0,0
"M Pascal, V Wagner, A Alari, M Corso… - Atmospheric …, 2021 - Elsevier",Extreme heat and acute air pollution episodes: A need for joint public health warnings?,"M Pascal, V Wagner, A Alari, M Corso… - Atmospheric …, 2021 - Elsevier","M Pascal, V Wagner, A Alari, M Corso… - Atmospheric …, 2021 - Elsevier",Save Cite Cited by 34 Related articles All 4 versions  ,https://www.sciencedirect.com/science/article/pii/S1352231021000674,Academic Journal,"… targeted by the French heat warning system, plus additional heat waves and cold spells of 
… heat waves identify heat waves corresponding to the highest level of the current warning …",,0,0,0,0,0,0,0,0,0,0,0
"Y Chae, J Park - … Journal of Environmental Research and Public Health, 2021 - mdpi.com","Analysis on effectiveness of impact based heatwave warning considering severity and likelihood of health impacts in Seoul, Korea","Y Chae, J Park - … Journal of Environmental Research and Public Health, 2021 - mdpi.com","Y Chae, J Park - … Journal of Environmental Research and Public Health, 2021 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/18/5/2380,Academic Journal,"… Some studies have shown that excess mortality from heat waves in London increased 
dramatically at about 19 C [30,31]. Emergency department visits (2011~2013) in Shanghai, China …","Australia, Switzerland, China, Spain, France, Georgia, Hong Kong, India, Japan, South Korea, Oman, Sweden, Tanzania",1,1,0,0,0,0,0,0,0,0,0
"MI Bittner, EF Matthies, D Dalbokova… - … Journal of Public Health, 2014 - academic.oup.com",Are European countries prepared for the next big heat-wave?,"MI Bittner, EF Matthies, D Dalbokova… - … Journal of Public Health, 2014 - academic.oup.com","MI Bittner, EF Matthies, D Dalbokova… - … Journal of Public Health, 2014 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/eurpub/article-abstract/24/4/615/637562,Academic Journal,"… From the documents reviewed, it can be stated that two countries do not include an alert 
system and therefore their heat-health action plans have to be seen as non-functional. …",,0,0,0,0,0,0,0,0,0,0,0
"M Pascal, K Laaidi, V Wagner, AB Ung, S Smaili… - PLoS …, 2012 - ncbi.nlm.nih.gov",How to use near real-time health indicators to support decision-making during a heat wave: the example of the French heat wave warning system,"M Pascal, K Laaidi, V Wagner, AB Ung, S Smaili… - PLoS …, 2012 - ncbi.nlm.nih.gov","M Pascal, K Laaidi, V Wagner, AB Ung, S Smaili… - PLoS …, 2012 - ncbi.nlm.nih.gov",[HTML] nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3461974/,Academic Journal,"… the term “warning proposal” to refer to a heat wave warning based on forecasted … “alarm” 
to refer to a public health alarm based on the observed health indicators, and the world “alert” to …",,0,0,0,0,0,0,0,0,0,0,0
"RS Kovats, LE Kristie - The European Journal of Public Health, 2006 - academic.oup.com",Heatwaves and public health in Europe,"RS Kovats, LE Kristie - The European Journal of Public Health, 2006 - academic.oup.com","RS Kovats, LE Kristie - The European Journal of Public Health, 2006 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/eurpub/article-abstract/16/6/592/587672,Academic Journal,"… heat-related illness and mortality in the community and in institutions that care for elderly or 
vulnerable people. Heat health warning systems (HHWS) link public health … future heat waves…",,0,0,0,0,0,0,0,0,0,0,0
,,,,,"https://upload.wikimedia.org/wikipedia/commons/e/ea/Heat_Wave.jpg&amp;imgrefurl=https://en.wikipedia.org/wiki/Heat_wave&amp;h=406&amp;w=741&amp;tbnid=8wzWpxKWRfFzzM&amp;q=heat+wave&amp;tbnh=166&amp;tbnw=303&amp;usg=AI4_-kQk3SsdOeB8jpQhGX702lEhXwTfkQ&amp;vet=1&amp;docid=WFUrgbKWmThZeM&amp;itg=1&amp;sa=X&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ9QF6BAgIEAQ""",News Source,,,,,,,,,,,,,
,,,,,"https://d2jx2rerrg6sh3.cloudfront.net/images/Article_Images/ImageForArticle_22823_16576228179945815.jpg&amp;imgrefurl=https://www.news-medical.net/health/What-are-the-Health-Implications-of-Heat-Waves.aspx&amp;h=563&amp;w=1000&amp;tbnid=9hVjh-Ys8nqAxM&amp;q=heat+wave&amp;tbnh=84&amp;tbnw=149&amp;usg=AI4_-kR-hNQOIY1MYI6vDhgCiPEpSzHR6A&amp;vet=1&amp;docid=duEDtES-8YPBaM&amp;sa=X&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ9QF6BAgIEAY""",News Source,,,,,,,,,,,,,
,,,,,"https://thumbs.dreamstime.com/b/heat-wave-concept-heat-wave-concept-showing-glowing-yellow-sky-thermometer-192688223.jpg&amp;imgrefurl=https://www.dreamstime.com/photos-images/heat-wave.html&amp;h=534&amp;w=800&amp;tbnid=_DWByhelxhKtSM&amp;q=heat+wave&amp;tbnh=95&amp;tbnw=143&amp;usg=AI4_-kScF3f7NUZ8WQvVNQj_oo_aRICeWA&amp;vet=1&amp;docid=D_j75QTk1v4nBM&amp;sa=X&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ9QF6BAgIEAg""",Other,,,,,,,,,,,,,
,,,,,"https://cdn.abcotvs.com/dip/images/5343664_061219-cc-accuwx-heat-wave-formation-vid.jpg?w%3D1600&amp;imgrefurl=https://abc7chicago.com/what-is-a-heat-wave-how-does-form-severe-weather-california/5343678/&amp;h=900&amp;w=1600&amp;tbnid=22ctqHBvxB1DvM&amp;q=heat+wave&amp;tbnh=84&amp;tbnw=150&amp;usg=AI4_-kR1VxGfXP1lcU0-rIL1ZAnmz2OH6w&amp;vet=1&amp;docid=Ax9tG6GkM0b95M&amp;sa=X&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ9QF6BAgIEAo""",Other,,None,0,0,0,0,0,0,0,0,0,0,0
,,,,,"https://en.wikipedia.org/wiki/Heat_wave&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQmhN6BAgIEA4&amp;usg=AOvVaw0Zl_M4KVQxtTY4huwBjap-""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://en.wikipedia.org/wiki/Heat_wave&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAoQAg&amp;usg=AOvVaw2QvBUZmOjpGa5pVj3Y2lfH""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://en.wikipedia.org/wiki/Heat_wave%23Definitions&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ0gJ6BAgKEAU&amp;usg=AOvVaw2-d6JISuJv7FiaIKRnTxqB""",Government,,"Australia, Belgium, Bermuda, Canada, China, Denmark, Spain, France, United Kingdom, Greece, Indonesia, Ireland, Israel, India, Iran, Japan, Luxembourg, Malawi, Mexico, Netherlands, Oman, Pakistan, Portugal, Sweden, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
,,,,,"https://en.wikipedia.org/wiki/Heat_wave%23Causes&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ0gJ6BAgKEAY&amp;usg=AOvVaw0hA_kzKimtSIS8weSR5EFm""",Government,,"Australia, Belgium, Bermuda, Canada, China, Denmark, Spain, France, United Kingdom, Greece, Indonesia, Ireland, Israel, India, Iran, Japan, Luxembourg, Malawi, Mexico, Netherlands, Oman, Pakistan, Portugal, Sweden, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
,,,,,"https://en.wikipedia.org/wiki/Heat_wave%23Impacts_on_human_health&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ0gJ6BAgKEAc&amp;usg=AOvVaw2FlAbveXvJtCjRkBbjMVLh""",Government,,"Australia, Belgium, Bermuda, Canada, China, Denmark, Spain, France, United Kingdom, Greece, Indonesia, Ireland, Israel, India, Iran, Japan, Luxembourg, Malawi, Mexico, Netherlands, Oman, Pakistan, Portugal, Sweden, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
,,,,,"https://en.wikipedia.org/wiki/Heat_wave%23Other_impacts&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQ0gJ6BAgKEAg&amp;usg=AOvVaw334Z6ts7_OOgnIOKCjBB_s""",Government,,"Australia, Belgium, Bermuda, Canada, China, Denmark, Spain, France, United Kingdom, Greece, Indonesia, Ireland, Israel, India, Iran, Japan, Luxembourg, Malawi, Mexico, Netherlands, Oman, Pakistan, Portugal, Sweden, United States, South Africa",1,1,0,0,0,0,0,0,0,0,0
,,,,,"https://www.ifrc.org/sites/default/files/2021-06/10-HEAT-WAVE-HR.pdf&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAwQAg&amp;usg=AOvVaw3betj77KNIYGuIjV2pBTR1""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.unicef.org/parenting/heat-wave-safety-tips&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAsQAg&amp;usg=AOvVaw33gxqVoHZQvkRDHG-zmeoa""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.ifrc.org/our-work/disasters-climate-and-crises/what-disaster/heat-waves&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAQQAg&amp;usg=AOvVaw3uTX7D5RZKxiNb5PD2lLSj""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.weather.gov/safety/heat-during&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAUQAg&amp;usg=AOvVaw3BjC7Y4Xcutoj2xQgp4Xrh""",Government,,"Canada, United States",0,1,0,0,0,0,0,0,0,0,0
,,,,,"https://www.britannica.com/science/heat-wave-meteorology&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAcQAg&amp;usg=AOvVaw3_0VyLlIXHsAQYN13YPFLM""",Other,,,,,,,,,,,,,
,,,,,"https://www.worldweatherattribution.org/extreme-heat-in-north-america-europe-and-china-in-july-2023-made-much-more-likely-by-climate-change/&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAYQAg&amp;usg=AOvVaw0ZZ5qQhqLGVL2bp7cBOfgx""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.who.int/india/heat-waves&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAMQAg&amp;usg=AOvVaw1JhVHmHSFQ3DFJmp9SsR2G""",Other,,,,,,,,,,,,,
,,,,,"https://www.who.int/publications-detail-redirect/9789289010948&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAkQAg&amp;usg=AOvVaw00umhVWG4AEA5xFlANIkS2""",Other,,,,,,,,,,,,,
,,,,,"https://internal.imd.gov.in/section/nhac/dynamic/FAQ_heat_wave.pdf&amp;sa=U&amp;ved=2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECA0QAg&amp;usg=AOvVaw0lImOIGbplXA88Pm040zD_""",Government,,,,,,,,,,,,,
,,,,,https://www.weather.gov/safety/heat-during\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAEQBg\x26amp;usg\x3dAOvVaw2X10ThLgYs723WpPU_k7fJ\x22,Government,,None,0,0,0,0,0,0,0,0,0,0,0
,,,,,https://www.vox.com/22538401/texas-heat-wave-weather-definition-record-temperature-climate-change\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAEQDQ\x26amp;usg\x3dAOvVaw24mF7Cbc5JVPYmwBw6C6-3\x22,Government,,"Antarctica, Mexico, United States",0,1,0,0,0,0,0,0,0,0,0
,,,,,https://www.redcross.ca/how-we-help/emergencies-and-disasters-in-canada/types-of-emergencies/heat-waves\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwifndOr0NSBAxXQrZUCHegXCwsQFnoECAEQFA\x26amp;usg\x3dAOvVaw0-QW4iWGaMQzV3OLTuYE68\x22,Other,,,,,,,,,,,,,
,,,,,"https://heatactionplatform.onebillionresilient.org/wp-content/uploads/sites/5/2023/07/heat-action-plan-re@2x-100.jpg?sa=X&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0Q_B16BAgJEAI""",Non Governmental Organization,,Iraq,0,0,0,0,0,0,0,0,0,0,0
,,,,,"https://heatactionplatform.onebillionresilient.org/modules/create-a-heat-action-plan/&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAkQBQ&amp;usg=AOvVaw0gKEoJO-HbOz_YLCcLQ2-h""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.who.int/publications-detail-redirect/9789289071918&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAAQAg&amp;usg=AOvVaw0Uv0TYRzYMIcCV3PQ5B9nD""",Other,,,,,,,,,,,,,
,,,,,"https://ghhin.org/heat-action-plans-and-case-studies/&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAIQAg&amp;usg=AOvVaw1FQTnWgfgAot47oGyV2NHf""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.who.int/europe/activities/planning-heat-health-action&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAYQAg&amp;usg=AOvVaw2MPan3YzjmlJscmxear515""",Other,,,,,,,,,,,,,
,,,,,"https://thewire.in/environment/heat-action-plans-explained&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAQQAg&amp;usg=AOvVaw0TPEjvvQKx30ukAtWxDt6f""",Other,,,,,,,,,,,,,
,,,,,"https://ndma.gov.in/sites/default/files/IEC/Booklets/HeatWave%2520A5%2520BOOK%2520Final.pdf&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAcQAg&amp;usg=AOvVaw2IisrjtxdK0VUHGmQhI9Ba""",Government,,,,,,,,,,,,,
,,,,,"https://www.nrdc.org/sites/default/files/ahmedabad-heat-action-plan-2018.pdf&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAEQAg&amp;usg=AOvVaw2lQma_mZi-4XAaKn3vN4_L""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://resources.ca.gov/-/media/CNRA-Website/Files/Initiatives/Climate-Resilience/2022-Final-Extreme-Heat-Action-Plan.pdf&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAUQAg&amp;usg=AOvVaw0A8l5VP6rRXoapxFR664ry""",Government,,,,,,,,,,,,,
,,,,,"https://www.nrdc.org/sites/default/files/ahmedabad-heat-action-plan-2016.pdf&amp;sa=U&amp;ved=2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAMQAg&amp;usg=AOvVaw11kHNJEMvs0ZWibtDNIfYp""",Non Governmental Organization,,,,,,,,,,,,,
,,,,,https://encrypted-tbn0.gstatic.com/images?q\x3dtbn:ANd9GcQ5-b-0-y6xhaDVyW3bayannWearhVUrxpktmrSIXwoPnvM1_dtdJyfEioaaA\x26s';var,Other,,,,,,,,,,,,,
,,,,,https://idronline.org/article/climate-emergency/can-indias-heat-action-plans-cope-with-the-heat/\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAwQBg\x26amp;usg\x3dAOvVaw3ky8S_HAnwOWHY-AxaFBwU\x22,Non Governmental Organization,,,,,,,,,,,,,
,,,,,https://www.ready.gov/heat\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAwQDQ\x26amp;usg\x3dAOvVaw01IDVplQ0RxNHUPJNa4yGu\x22,Government,,,,,,,,,,,,,
,,,,,https://www.c40.org/case-studies/cities100-athens-heatwave-action-plan-protects-vulnerable-residents/\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAwQFA\x26amp;usg\x3dAOvVaw1YSdwkYLmNS-LOb0Rs2P6D\x22,Non Governmental Organization,,,,,,,,,,,,,
,,,,,https://heatalert.org.uk/alert-levels/\x26amp;sa\x3dU\x26amp;ved\x3d2ahUKEwilo6Ws0NSBAxWmppUCHTq7Dd0QFnoECAwQGw\x26amp;usg\x3dAOvVaw052PgKqZ-1dh2hBY6Dd2O7\x22,Non Governmental Organization,,,,,,,,,,,,,
,,,,,"https://www.who.int/news-room/fact-sheets/detail/climate-change-heat-and-health&amp;sa=U&amp;ved=2ahUKEwjxppWt0NSBAxX3p5UCHY8ZAi4QFnoECAEQAg&amp;usg=AOvVaw33CI4Oj3bRlsoQDwEsVwYi""",News Source,,,,,,,,,,,,,
,,,,,"https://www.heat.gov/&amp;sa=U&amp;ved=2ahUKEwjxppWt0NSBAxX3p5UCHY8ZAi4QFnoECAkQAg&amp;usg=AOvVaw2Nksp4k2K-s42DMeuSNkhE""",Government,,None,0,0,0,0,0,0,0,0,0,0,0
,,,,,"https://www.samhsa.gov/blog/heat-health-awareness-why-its-important-persons-substance-use-disorders-mental-health&amp;sa=U&amp;ved=2ahUKEwjxppWt0NSBAxX3p5UCHY8ZAi4QFnoECAoQAg&amp;usg=AOvVaw0RSCzEBZ9tjg-pc3L8Yb90""",Government,,,,,,,,,,,,,
